# Archimedes Model Dataset: US vs UK Log Ratios
# Period: 1850-1960
# 
# Variable Definitions (following Archimedes model specification):
# - wheat_affordability_ratio: -ln(A_US/A_UK) where A = wheat_price/gdp_per_capita
#   Positive values = wheat more affordable in US relative to UK
# - gdp_ratio_us_uk: ln(GDP_US/GDP_UK)
#   Positive values = US GDP larger than UK GDP
# - military_expenditure_ratio_us_uk: ln(S_US/S_UK) where S = global military expenditure share
#   Positive values = US has larger share of global military expenditures than UK
# - military_personnel_ratio_us_uk: ln(S_US/S_UK) where S = global military personnel share
#   Positive values = US has larger share of global military personnel than UK
# - composite_military_ratio_us_uk: average of expenditure and personnel ratios
#   Positive values = US military dominance over UK
# 
# All ratios follow log(US/UK) convention from Archimedes model
# Missing values indicate data not available for that year
#
year,wheat_affordability_ratio,log_wheat_affordability_ratio,gdp_ratio_us_uk,military_expenditure_ratio_us_uk,military_personnel_ratio_us_uk,composite_military_ratio_us_uk
1933,-2.623975951592703,-2.623975951592703,0.9537383003799325,0.5373938985891861,-0.25857398829371037,0.13940995514773785
1934,-3.0343277015544174,-3.0343277015544174,0.9701074335071834,0.3968823222441141,-0.2526630461521997,0.07210963804595721
1935,-2.916735144569552,-2.916735144569552,1.0497668659086592,0.22123874458714746,-0.24201203561859244,-0.010386645515722492
1936,-2.7604120498930746,-2.7604120498930746,1.0994544020840962,0.044128037851751255,-0.1437878927917118,-0.04982992746998027
1937,,,1.1378487605880407,-0.18724936998214256,-0.11492996667397685,-0.1510896683280597
1938,,,1.0630625989517957,-0.4991798045115692,-0.15193682016723808,-0.32555831233940363
1939,-2.7268694071379085,-2.7268694071379085,1.1208676431839013,-2.0865173419139533,-0.1652099163212334,-1.1258636291175934
1940,-2.437183474579898,-2.437183474579898,1.1057206053199962,-1.7923958589241327,-0.8006887221641317,-1.2965422905441322
1941,-1.827461940710754,-1.827461940710754,1.1494832912355366,-0.5823972717766057,-0.24456705674128476,-0.41348216425894524
1942,-1.9381079172276454,-1.9381079172276454,1.2284997550290584,0.657030049889271,0.12957816116312268,0.3933041055261969
1943,-2.018112859707112,-2.018112859707112,1.2970118588196609,1.5453326401505858,0.7803093302600002,1.1628209852052929
1944,-2.033018728514079,-2.033018728514079,1.4066938787206784,1.677546261433328,0.8489291821192877,1.2632377217763078
1945,,,1.4313924256051789,1.6664758629418124,0.8678266442020149,1.2671512535719136
1946,,,1.3803106194416541,0.9330462747661955,0.3892604814844814,0.6611533781253385
1947,,,1.3793465549765958,0.7658295728511287,0.19542023711249773,0.4806249049818132
1948,,,1.3944984464645171,1.159167256844426,0.5348557080666555,0.8470114824555408
1949,,,1.3380012326387067,1.4595388070292483,0.7406997208090274,1.100119263919138
1950,,,1.4316001627235775,1.812726144876365,0.7509504436887234,1.2818382942825441
1953,,,1.5204711995373974,2.3821161288778896,1.413380835305462,1.897748482091676
1954,,,1.4738724566204584,2.2723865982186284,1.370072918012867,1.8212297581157477
1955,,,1.5065471176520022,2.228429665104159,1.2886638152037053,1.7585467401539323
