# Wheat Affordability Analysis: Income-Deflated Price Index (Option A)
# Methodology: A_{i,t} = p_{i,t} / y^{pc}_{i,t}
# 
# Column Definitions:
# - affordability_index: Fraction of annual income needed to buy 1 kg wheat (unit-free)
# - log_affordability_index: Natural log of affordability index (for regression)
# - kg_wheat_per_1pct_gdp: Kg of wheat purchasable with 1% of GDP per capita
# - affordability_percentage: Affordability index as percentage
# 
# Lower affordability_index values = wheat more affordable
# Higher kg_wheat_per_1pct_gdp values = wheat more affordable
#
year,country,wheat_price_nominal,gdp_per_capita,affordability_index,log_affordability_index,kg_wheat_per_1pct_gdp,affordability_percentage
1935,UK,4.986,9244.0,0.0005393768931198615,-7.525095986292905,18.539911752908143,0.053937689311986156
1936,UK,6.29175,9620.0,0.0006540280665280666,-7.332360292247375,15.289863710414432,0.06540280665280665
1939,UK,4.5207500000000005,9982.0,0.00045289020236425573,-7.699860840746602,22.08040701211082,0.04528902023642557
1940,UK,7.187333333333334,10928.0,0.0006576988775012202,-7.326763364361755,15.204526481773488,0.06576988775012202
1941,UK,14.610999999999999,11926.0,0.0012251383531779304,-6.704701499993104,8.162343439874068,0.12251383531779304
1942,UK,14.604,12176.0,0.0011994086727989486,-6.725926616308077,8.33744179676801,0.11994086727989486
1943,UK,15.381833333333333,12344.0,0.001246097969323828,-6.687738234642149,8.025051196758081,0.1246097969323828
1944,UK,15.333333333333334,11803.0,0.0012991047473806096,-6.646079907608083,7.697608695652173,0.12991047473806097
1945,UK,14.416666666666666,11247.0,0.0012818233010284223,-6.6594717606942435,7.801387283236995,0.12818233010284225
1946,UK,14.826416666666667,10751.0,0.0013790732645025268,-6.586343552863959,7.251246367688305,0.1379073264502527
1947,UK,16.687416666666667,10527.0,0.0015852015452328932,-6.447043721861128,6.308346109094178,0.15852015452328932
1948,UK,20.96525,10753.0,0.0019497117083604576,-6.240073759202599,5.128963403727597,0.19497117083604576
1949,UK,23.270916666666665,11088.0,0.0020987478956228955,-6.166414352254196,4.764745694733413,0.20987478956228955
1950,UK,25.86108333333333,11061.0,0.0023380420697345023,-6.05844142219573,4.277083004385612,0.23380420697345022
1953,UK,28.882,11709.0,0.0024666495857887097,-6.004894492144351,4.054082127276504,0.24666495857887097
