Year,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Net,Straw,Mustard,Saffron,source,country,currency,period,avg_grain_price,avg_legume_price,grain_price_volatility,grain_price_trend,Rye_relative_to_wheat,Barley_relative_to_wheat,Oats_relative_to_wheat,century,period_classification
1323,1.04,0.64,0.32,0.82,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.705,,0.17606599930455366,0.6112500000000001,0.6153846153846154,0.3076923076923077,0.7884615384615384,1300,Late_Medieval
1324,0.78,0.43,0.24,0.5,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.4875,,0.17805059362127626,0.6134999999999999,0.5512820512820512,0.30769230769230765,0.641025641025641,1300,Late_Medieval
1325,0.86,0.59,0.35,0.72,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.6299999999999999,,0.16692480010138958,0.6072916666666666,0.686046511627907,0.4069767441860465,0.8372093023255813,1300,Late_Medieval
1326,0.59,0.42,0.25,0.55,4.67,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.4525,4.67,0.16216867932975076,0.5991666666666667,0.711864406779661,0.42372881355932207,0.9322033898305085,1300,Late_Medieval
1327,0.45,0.32,0.25,0.54,4.98,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.39,4.98,0.16272932536372575,0.5544166666666667,0.7111111111111111,0.5555555555555556,1.2,1300,Late_Medieval
1328,0.54,0.33,0.22,0.47,6.18,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.39,6.18,0.11744857030490691,0.5130416666666666,0.611111111111111,0.4074074074074074,0.8703703703703702,1300,Late_Medieval
1329,0.73,0.37,0.27,0.71,5.42,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.52,5.42,0.10286722834152122,0.49491666666666667,0.5068493150684932,0.36986301369863017,0.9726027397260274,1300,Late_Medieval
1330,0.74,0.44,0.25,0.58,3.54,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.5025,3.54,0.11515760134766681,0.48991666666666667,0.5945945945945946,0.33783783783783783,0.7837837837837838,1300,Late_Medieval
1331,0.81,0.5,0.31,0.85,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.6175,,0.11081087909553801,0.4912916666666667,0.6172839506172839,0.38271604938271603,1.0493827160493827,1300,Late_Medieval
1332,0.9,0.6,0.37,0.93,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.7000000000000001,,0.11309533834582032,0.4839166666666667,0.6666666666666666,0.4111111111111111,1.0333333333333334,1300,Late_Medieval
